**************************************************
SharedInfo: 0xbf9ac5e0, SessionId: 0 Shared delta: 0
aheList: 0xbbd10000, Table size: 0x3000, Entry size: 0xc

Object(V)      Handle bType                 Flags    Thread  Process
0xbbe48428    0x30062 TYPE_WINDOW             0       1892   1888
0xe16e1cd0    0x10063 TYPE_DEVICEINFO         0     -------- -
0xbbe42b78    0x20064 TYPE_WINDOW             0       1916   1912
0xe16e1be0    0x10065 TYPE_DEVICEINFO         0     -------- -
0xbbe48190    0x20066 TYPE_WINDOW             0       1892   1888
0xe1706c40    0x30067 TYPE_KBDFILE            0     -------- -
0xbbe48530    0x40068 TYPE_WINDOW             0       1892   1888
0xe16b2658    0x10069 TYPE_KBDLAYOUT          0     -------- -
0xbbe43008    0x4006a TYPE_WINDOW             0       1916   1912
0xbbe43108    0x2006c TYPE_WINDOW             0       1832   1752
0xe1c75ee0    0x2006d TYPE_CURSOR             0     -------- 1752
0xbc5706e8    0x2006e TYPE_WINDOW             0       700    612
0xbbe3f908    0x2006f TYPE_INPUTCONTEXT       0       1904   1900
0xbc570818    0x10070 TYPE_WINDOW             0       700    612
0xbc230f58    0x10071 TYPE_INPUTCONTEXT       0       1340   1336
0xbc570940    0x10072 TYPE_WINDOW             0       700    612
0xbc13d9d0    0x10073 TYPE_INPUTCONTEXT       0       764    692
0xbc13db18    0x10074 TYPE_WINDOW             0       1496   1076
0xe17dcdd0  0x27e0075 TYPE_TIMER              0     -------- -
0xbbe3aed0    0x10076 TYPE_WINDOW             0       1832   1752
0xbbe3afc8    0x10078 TYPE_WINDOW             0       1832   1752
0xbbe3e720    0x20079 TYPE_HOOK               0       1916   1912
0xbbe3b140    0x1007a TYPE_WINDOW             0       1832   1752
0xe1848b88   0x1c007b TYPE_DDEACCESS          0       1756   1752
0xbbe3b1f0    0x1007c TYPE_WINDOW             0       1832   1752
0xe1df8530    0x3007d TYPE_TIMER              0     -------- -
0xbbe3b2e8    0x1007e TYPE_WINDOW             0       1852   1752
0xbc13dc20    0x2007f TYPE_INPUTCONTEXT       0       1472   1076
0xbbe3b398    0x10080 TYPE_WINDOW             0       1832   1752
0xbc13da18    0x20081 TYPE_INPUTCONTEXT       0       1480   1076
0xbbe3b500    0x10082 TYPE_WINDOW             0       1832   1752
0xbc13da60    0x10083 TYPE_INPUTCONTEXT       0       1496   1076
0xbbe3b658    0x10084 TYPE_WINDOW             0       1832   1752
0xe1f5c008    0x10085 TYPE_TIMER              0     -------- -
0xbbe3b728    0x10086 TYPE_WINDOW             0       1832   1752
0xbbe3b7d8    0x10088 TYPE_WINDOW             0       1832   1752
0xbbe33290    0x10089 TYPE_INPUTCONTEXT       0       1524   1516
0xbbe3bb20    0x1008a TYPE_WINDOW             0       1832   1752
0xbbe332d8    0x1008b TYPE_INPUTCONTEXT       0       1540   1516
0xbbe3bc08    0x1008c TYPE_WINDOW             0       1832   1752
0xbbe3a490    0x4008d TYPE_INPUTCONTEXT       0       1832   1752
