**************************************************
SharedInfo: 0xbf9ac5e0, SessionId: 0 Shared delta: 0
aheList: 0xbbd10000, Table size: 0x3000, Entry size: 0xc

Object(V)      Handle bType                 Flags    Thread  Process
0xbc148540    0x101d5 TYPE_INPUTCONTEXT       0       2588   2068
0xbc148568    0x101d7 TYPE_HOOK               0       2588   2068
0xbc1485c0    0x101d9 TYPE_INPUTCONTEXT       0       2600   2068
0xbc1485e8    0x101db TYPE_HOOK               0       2600   2068
0xe1c6a1e8   0x2b01dd TYPE_CURSOR             0     -------- 1752
0xe1d190e0    0x501df TYPE_CURSOR             0     -------- 1752
0xe1c8f188   0x2201e1 TYPE_CURSOR             0     -------- 3372
0xe1dde670    0x101e3 TYPE_CURSOR             0     -------- 3372
0xbbe55250    0x101e5 TYPE_HOOK               0       3376   3372
0xbbe55288    0x101e7 TYPE_HOOK               0       3376   3372
0xbbe55540    0x201e9 TYPE_INPUTCONTEXT       0       3384   1516
0xbbe349b0    0xb01eb TYPE_INPUTCONTEXT       0       3424   1516
0xe170eb28   0x7f01ed TYPE_CURSOR             0     -------- 1752
0xe112f2c8   0x4d01ef TYPE_CURSOR             0     -------- 1752
0xe1d54738    0xa01f1 TYPE_CURSOR             0     -------- 1752
0xbbe55d48    0x701f3 TYPE_HOOK               0       3712   1752
0xbbe55d10    0x201f5 TYPE_HOOK               0       3712   1752
0xe186e248    0xb01f7 TYPE_CURSOR             0     -------- 1752
0xbbe349f8    0x401f9 TYPE_INPUTCONTEXT       0       1532   1516
0xbbe55f90   0x2601fb TYPE_MENU               0     -------- 1752
0xe18a0fa8   0x6e01fd TYPE_CURSOR             0     -------- 1752
0xe18b6aa8    0x501ff TYPE_CURSOR             0     -------- 1752
0xbbe55c00    0x30201 TYPE_MENU               0     -------- 1752
0xe1ced220    0x40203 TYPE_CURSOR             0     -------- 1752
0xbbe34b60    0x10205 TYPE_MENU               0     -------- 1752
0xbbe350b8    0x10207 TYPE_MENU               0     -------- 1752
0xbbe353a8    0x10209 TYPE_MENU               0     -------- 1752
0xe1d8c680    0x1020a TYPE_CURSOR             0     -------- 1752
0xbbe35408    0x1020b TYPE_MENU               0     -------- 1752
0xbbe33978    0x1020d TYPE_MENU               0     -------- 1752
0xbbe33d30    0x1020f TYPE_MENU               0     -------- 1752
0xbbe34168    0x20211 TYPE_MENU               0     -------- 1752
0xbbe34220    0x10213 TYPE_MENU               0     -------- 1752
0xbbe36070    0x10215 TYPE_MENU               0     -------- 1752
0xbbe360d0    0x10217 TYPE_MENU               0     -------- 1752
0xbbe36ec8    0x10219 TYPE_MENU               0     -------- 1752
0xbbe33750    0x1021b TYPE_MENU               0     -------- 1752
0xbbe374d0    0x1021d TYPE_MENU               0     -------- 1752
0xbbe337b0    0x1021f TYPE_MENU               0     -------- 1752
0xbbe33810    0x10221 TYPE_MENU               0     -------- 1752
0xbbe33890    0x10223 TYPE_MENU               0     -------- 1752
0xbbe36a90    0x10225 TYPE_MENU               0     -------- 1752
0xbbe5b8f8    0x40226 TYPE_WINDOW             0       516    612
0xbbe4da98    0x20227 TYPE_MENU               0     -------- 1752
0xbbe4db38    0x10229 TYPE_MENU               0     -------- 1752
0xbbe4deb8    0x1022b TYPE_MENU               0     -------- 1752
0xbbe4df18    0x1022d TYPE_MENU               0     -------- 1752
0xbbe4e0d8    0x1022f TYPE_MENU               0     -------- 1752
0xbbe4cee8    0x10231 TYPE_MENU               0     -------- 1752
0xbbe4cf48    0x10233 TYPE_MENU               0     -------- 1752
0xbbe4e1f8    0x10235 TYPE_MENU               0     -------- 1752
0xbbe4e270    0x10237 TYPE_MENU               0     -------- 1752
0xbbe4fe98    0x10239 TYPE_MENU               0     -------- 1752
0xbbe4fef8    0x1023b TYPE_MENU               0     -------- 1752
0xbbe50428    0x1023d TYPE_MENU               0     -------- 1752
0xbbe507e0    0x1023f TYPE_MENU               0     -------- 1752
0xbbe50be0    0x10241 TYPE_MENU               0     -------- 1752
0xbbe501c0    0x10243 TYPE_MENU               0     -------- 1752
0xbbe502e8    0x10245 TYPE_MENU               0     -------- 1752
0xbbe56c08    0x10247 TYPE_MENU               0     -------- 1752
0xbbe56c68    0x10249 TYPE_MENU               0     -------- 1752
0xbbe57350    0x1024b TYPE_MENU               0     -------- 1752
0xbbe72518    0xf024d TYPE_MENU               0     -------- 1752
0xe1d0c948   0x15024f TYPE_CURSOR             0     -------- 612
0xe184a628   0x100251 TYPE_CURSOR             0     -------- 1752
0xbbe33518    0x40253 TYPE_MENU               0     -------- 1752
0xbbe5b5f0    0x40255 TYPE_MENU               0     -------- 1752
0xbbe5ba00    0x40257 TYPE_MENU               0     -------- 1752
0xbbe5ba60    0x40259 TYPE_MENU               0     -------- 1752
0xbbe5d230    0x4025b TYPE_MENU               0     -------- 1752
0xbbe72660    0x4025d TYPE_MENU               0     -------- 1752
0xbbe5bca0    0x4025f TYPE_MENU               0     -------- 1752
0xbc142950   0x330261 TYPE_INPUTCONTEXT       0       148    1076
0xbbe5c328    0x90263 TYPE_MENU               0     -------- 612
0xe10a69c0   0x130265 TYPE_CURSOR             0     -------- 612
0xe1864348   0x270267 TYPE_CURSOR             0     -------- 1752
0xe1cac4e8    0x30269 TYPE_CURSOR             0     -------- 1752
0xbbe5a720    0x3026b TYPE_MENU               0     -------- 612
0xe1c574c0    0x3026f TYPE_ACCELTABLE         0     -------- 1752
0xbbe5a780    0x30271 TYPE_MENU               0     -------- 612
0xe1ca83f8    0x30273 TYPE_CURSOR             0     -------- 1752
0xbbe59ce8    0x40275 TYPE_MENU               0     -------- 1752
0xbbe5b708   0x170277 TYPE_MENU               0     -------- 1752
0xbbe59c88    0x30279 TYPE_MENU               0     -------- 1752
0xe1ebc008    0x1027d TYPE_CURSOR             0     -------- 1752
0xe1e36740   0x290281 TYPE_TIMER              0     -------- -
0xbc142998   0x430283 TYPE_INPUTCONTEXT       0       888    424
0xe15ab200    0x20285 TYPE_CURSOR             0     -------- 1752
0xbc13f830   0x270287 TYPE_INPUTCONTEXT       0       1596   1076
0xbbe722f8    0x80289 TYPE_INPUTCONTEXT       0       3760   3756
0xe15de920   0x11028b TYPE_CURSOR             0     -------- 1752
0xbbe5c2c8    0x8028d TYPE_MENU               0     -------- 612
0xe18cd620   0x43028f TYPE_CURSOR             0     -------- 1752
0xe111b3d0    0xb0291 TYPE_CURSOR             0     -------- 1752
0xe19ec3a8   0x140293 TYPE_TIMER              0     -------- -
0xe178e450   0x200295 TYPE_CURSOR             0     -------- 1752
0xbbe34928    0x50299 TYPE_MENU               0     -------- 1752
0xe17b1c10    0x9029b TYPE_CURSOR             0     -------- 1752
0xbbe72760    0x4029d TYPE_MENU               0     -------- 1752
0xbbe3c2f0   0x73029f TYPE_INPUTCONTEXT       0       3280   1752
0xe1d13050    0x802a3 TYPE_TIMER              0     -------- -
0xbc1469c0   0x1d02a5 TYPE_INPUTCONTEXT       0       1088   1040
0xbc142898    0x402a7 TYPE_INPUTCONTEXT       0       1884   1076
0xe164d340    0x502ad TYPE_CURSOR             0     -------- 1752
0xe160d210    0x702af TYPE_CURSOR             0     -------- 1752
0xe17855a0    0x602b1 TYPE_CURSOR             0     -------- 1752
0xe1d84530    0x402b3 TYPE_CURSOR             0     -------- 1752
0xe114efa8    0x402b5 TYPE_CURSOR             0     -------- 1752
0xbc130f78    0xc02b9 TYPE_INPUTCONTEXT       0       252    1076
0xe121a7a0    0x502bd TYPE_CURSOR             0     -------- 1752
0xbc142460    0x302c9 TYPE_INPUTCONTEXT       0       2408   2396
0xe120c1f0    0x402cb TYPE_CURSOR             0     -------- 1752
0xe11137f8    0x402cd TYPE_CURSOR             0     -------- 1752
0xe18d9cc0    0x602cf TYPE_CURSOR             0     -------- 1752
0xe1f63ec0    0x502d1 TYPE_CURSOR             0     -------- 1752
0xe1828840    0x302d3 TYPE_CURSOR             0     -------- 1752
0xe14d8aa0    0x302d5 TYPE_CURSOR             0     -------- 1752
0xe1c5b008    0x402d7 TYPE_CURSOR             0     -------- 1752
0xe18b09e8    0x302d9 TYPE_CURSOR             0     -------- 1752
0xe1936b48    0x302db TYPE_CURSOR             0     -------- 1752
0xe1920360    0x402dd TYPE_CURSOR             0     -------- 1752
0xe17f9d18    0x402df TYPE_CURSOR             0     -------- 1752
0xe17767c8    0x402e1 TYPE_CURSOR             0     -------- 1752
0xe19b1f00    0x502e3 TYPE_CURSOR             0     -------- 1752
0xe1d617d0    0x302e5 TYPE_CURSOR             0     -------- 1752
0xe1c90120    0x802e7 TYPE_CURSOR             0     -------- 1752
0xbc148828    0x702e9 TYPE_INPUTCONTEXT       0       2400   2396
0xe17acd48    0x302eb TYPE_CURSOR             0     -------- 1752
0xe1c2c860   0x1202ed TYPE_CURSOR             0     -------- 1752
0xe1749b60    0x602ef TYPE_CURSOR             0     -------- 1752
0xe1c89618    0x402f1 TYPE_CURSOR             0     -------- 1752
0xbc1424a8    0x202f7 TYPE_INPUTCONTEXT       0       2432   2396
0xe1cbf610   0x1202fd TYPE_CURSOR             0     -------- 1752
0xbc142928    0xc0301 TYPE_INPUTCONTEXT       0       2508   2396
0xbc1428e0    0x50303 TYPE_INPUTCONTEXT       0       2412   2396
0xe1d01f58    0xc030b TYPE_CURSOR             0     -------- 1752
0xbc142a08    0x20313 TYPE_INPUTCONTEXT       0       208    1076
