[x86] Gathering all referenced SSDTs from KTHREADs...
  Entry 0x0046: 0x8060cbec (NtEnumerateBootEntries) owned by ntoskrnl.exe
  Entry 0x0047: 0x8061ab90 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0048: 0x8060cbde (NtEnumerateSystemEnvironmentValuesEx) owned by ntoskrnl.exe
  Entry 0x0049: 0x8061adfa (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x004a: 0x805a919a (NtExtendSection) owned by ntoskrnl.exe
  Entry 0x004b: 0x805e328e (NtFilterToken) owned by ntoskrnl.exe
  Entry 0x004c: 0x8060c112 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x004d: 0x8056bf5a (NtFlushBuffersFile) owned by ntoskrnl.exe
  Entry 0x004e: 0x805abeb8 (NtFlushInstructionCache) owned by ntoskrnl.exe
  Entry 0x004f: 0x8061b064 (NtFlushKey) owned by ntoskrnl.exe
  Entry 0x0050: 0x805a1b28 (NtFlushVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0051: 0x805abe5a (NtFlushWriteBuffer) owned by ntoskrnl.exe
  Entry 0x0052: 0x805ab9ca (NtFreeUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x0053: 0x805a8470 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0054: 0x8056e4e8 (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0055: 0x805c779a (NtGetContextThread) owned by ntoskrnl.exe
  Entry 0x0056: 0x805be558 (NtGetDevicePowerState) owned by ntoskrnl.exe
  Entry 0x0057: 0x8058e5fa (NtGetPlugPlayEvent) owned by ntoskrnl.exe
  Entry 0x0058: 0x8051d9d2 (NtGetWriteWatch) owned by ntoskrnl.exe
  Entry 0x0059: 0x805eedd6 (NtImpersonateAnonymousToken) owned by ntoskrnl.exe
  Entry 0x005a: 0x8059a504 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x005b: 0x805cdadc (NtImpersonateThread) owned by ntoskrnl.exe
  Entry 0x005c: 0x80618486 (NtInitializeRegistry) owned by ntoskrnl.exe
  Entry 0x005d: 0x805be33e (NtInitiatePowerAction) owned by ntoskrnl.exe
  Entry 0x005e: 0x805cb504 (NtIsProcessInJob) owned by ntoskrnl.exe
  Entry 0x005f: 0x805be544 (NtIsSystemResumeAutomatic) owned by ntoskrnl.exe
