Offset(P)    #Ptr   #Hnd Access Name
0x016a09e8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\netshell.dll
0x016a0c10      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\rpcrt4.dll
0x016a2028      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\lsass.exe
0x016a23e0      1      0 R--r-- \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Crypto\RSA\S-1-5-18\d42cc0c3858a58db2db37658219e6400_02450e87-e7e5-402f-ba79-6e0b685899f0
0x016a2478      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\TPVMMon.dll
0x016a2738      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016a28b0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016a4228      1      1 ------ \Device\NamedPipe\trkwks
0x016a46a0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\msctfime.ime
0x016a4768      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\msgina.dll
0x016a4830      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\odbc32.dll
0x016a48f8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\sxs.dll
0x016a5538      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x016a5948      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x016a71d8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\AppPatch\acgenral.dll
0x016a7a90      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\vmtools.dll
0x016a7c20      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\eventlog.dll
0x016a8c30      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\cscui.dll
0x016a8e00      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x016a9cb8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016aa740      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\scecli.dll
0x016aa7d8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wtsapi32.dll
0x016aa9b0      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\MAPPING.VER
0x016aae90      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\rastls.dll
0x016ab760      1      1 ------ \Device\NamedPipe\protected_storage
0x016ab9b0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\cryptsvc.dll
0x016abbe0      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\OBJECTS.DATA
0x016abd50      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\pchealth\helpctr\binaries\pchsvc.dll
0x016ac3c0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\sorttbls.nls
0x016ac5d0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\locale.nls
0x016ac7a0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\unicode.nls
0x016ac9f0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ipsecsvc.dll
0x016accd8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700
0x016ae2c8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\_vti_bin\_vti_adm
0x016ae528      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x016af028      3      0 RWD--- \Device\HarddiskVolume1\$BitMap
0x016af468      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x016af9b0      3      0 RWD--- \Device\HarddiskVolume1\$Mft
0x016c1630      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\version.dll
0x016c18e0      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\_REGISTRY_MACHINE_SOFTWARE
0x016c1b60      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msctf.dll
0x016c2028      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\setupapi.dll
0x016c2490      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\FS\INDEX.BTR
0x016c2e68      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\srclient.dll
0x016c2f90      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\FS\MAPPING.VER
0x016c9f28      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu
0x016cc330      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016cc518      2      1 ------ \Device\NamedPipe\Ctx_WinStation_API_service
0x016cc8e8      1      1 ------ \Device\NamedPipe\SfcApi
0x016ccad0      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-20
0x016cccb8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\repdrvfs.dll
0x016ce478      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\msidle.dll
0x016ce510      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\schedsvc.dll
0x016ce920      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\Fonts\marlett.ttf
0x016ceaf0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\Fonts\tahoma.ttf
0x016cef90      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\Fonts\tahomabd.ttf
0x016cf188      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\SAM.LOG
0x016cf390      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
0x016cf6c0      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\system.LOG
0x016cfb78      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
0x016cfd48      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY.LOG
0x016cff28      2      1 RW--w- \Device\HarddiskVolume1\pagefile.sys
0x016d0240      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-1957994488-1326574676-839522115-500
0x016d02d8      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\FS\OBJECTS.DATA
0x016d0b18      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\msacm32.dll
0x016d19f0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wshtcpip.dll
0x016d1a88      1      0 R--r-- \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Microsoft\CryptnetUrlCache\MetaData\94308059B57B3142E455B38A6EB92015
0x016d2668      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\iconv.dll
0x016d3348      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x016d3d60      4      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\NTUSER.DAT
0x016d4490      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\samlib.dll
0x016d72e0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\localspl.dll
0x016d83c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ndptsp.tsp
0x016d8460      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016d86c0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\tprdpw32.dll
0x016d92e0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemsvc.dll
0x016d9448      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\FS\OBJECTS.MAP
0x016d9c98      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\PrintHood
0x016da7a0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x016de028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016def90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\unimdm.tsp
0x016df4f8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\batmeter.dll
0x016df620      1      1 ------ \Device\Afd\Endpoint
0x016dfae8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\verdanab.ttf
0x016dfde0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ipconfig.exe
0x016e5858      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\shimeng.dll
0x016e5ef8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x016e6230      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\ws2help.dll
0x016e6518      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemsvc.dll
0x016e6b80      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\_REGISTRY_USER_NTUSER_S-1-5-19
0x016e7f90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016eef90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mtxclu.dll
0x016efdd0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wups2.dll
0x016eff00      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\rasmans.dll
0x017033f0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wsock32.dll
0x017034b0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\vgaoem.fon
0x01703b58      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Set Program Access and Defaults.lnk
0x017062a8      2      1 ------ \Device\NamedPipe\lsass
0x01708298      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\FS\INDEX.MAP
0x01708810      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\FS\MAPPING1.MAP
0x01708cb8      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\FS\MAPPING2.MAP
0x0170c8f8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01723638      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\dssenh.dll
0x017238d8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\winsrv.dll
0x01726278      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\Start Menu\Programs\desktop.ini
0x017267c8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x01726a70      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msv1_0.dll
0x01733470      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\config\systemprofile\Application Data\Microsoft\SystemCertificates\My
0x017359d0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\AppPatch\sysmain.sdb
0x01736340      1      1 ------ \Device\NamedPipe\spoolss
0x017366b8      1      0 -W---- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\domain.txt
0x01737870      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01737ec0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0173a330      1      1 ------ \Device\NamedPipe\atsvc
0x0173aa50      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\certcli.dll
0x0173c568      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msnsspc.dll
0x0173cf90      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\plugins\vmsvc\autoLogon.dll
0x0173d230      1      1 ------ \Device\NamedPipe\net\NtControlPipe11
0x0173df90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wscntfy.exe
0x0174d5e8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0174d710      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0174e5a8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\ws2_32.dll
0x017506f8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\tapi32.dll
0x017509f8      1      1 ------ \Device\Afd\Endpoint
0x01753778      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01754f90      1      1 ------ \Device\Afd\Endpoint
0x017557b0      1      0 -W-r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\Logs\wmiprov.log
0x017558b0      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Antimalware\Definition Updates\Updates\mpasbase.vdm
0x017565b0      1      0 -W---- \Device\HarddiskVolume1\WINDOWS\Tasks\MP Scheduled Scan.job
0x01756af0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mmsys.cpl
0x01757028      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Antimalware\Definition Updates\Updates\mpavbase.vdm
0x01757190      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Antimalware\Definition Updates\Updates\mpengine.dll
0x01757958      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\ntdll.dll
0x01757ab0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\PING.EXE-31216D26.pf
0x017584e0      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x01758e50      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\ntuser.dat.LOG
0x01759068      1      1 ------ \Device\NamedPipe\winlogonrpc
0x0176c178      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\config\systemprofile\Application Data\Microsoft\SystemCertificates\My
0x0176c378      3      1 ------ \Device\NamedPipe\net\NtControlPipe6
0x0176c5d8      1      1 ------ \Device\NamedPipe\net\NtControlPipe0
0x0176c9d8      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Antimalware\MpScanCache-1.bin
0x0177df90      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\plugins\vmsvc\guestInfo.dll
0x01780838      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\NetworkService\ntuser.dat.LOG
0x01780f90      4      1 RW---- \Device\HarddiskVolume1\Documents and Settings\NetworkService\NTUSER.DAT
0x01781200      1      1 ------ \Device\NamedPipe\SfcApi
0x01784088      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0426
0x017841b0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0425
0x017842d8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041e
0x01784400      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041a
0x01784528      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0418
0x01784650      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0402
0x01784778      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0C0A
0x017848a0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0816
0x017849c8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0804
0x01784af0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0424
0x01784c18      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041f
0x01784d40      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041D
0x01784e68      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041b
0x01784f90      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0419
0x01785028      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\msagent\intl
0x017850f8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\admisapi\scripts
0x01785230      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\admcgi\scripts
0x01785318      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\1033
0x017853b0      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System
0x01785448      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT
0x01785530      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\Triedit
0x01785618      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\imjp8_1
0x01785700      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\Setup
0x017857e8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\Com
0x01785920      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\IME\CINTLGNT
0x017859b8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\wbem
0x01785af0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\CHTIME\Applets
0x01785bd8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\drivers\disdn
0x01785c70      2      1 R--rw- \Device\HarddiskVolume1\Program Files\NetMeeting
0x01785d98      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\pchealth\helpctr\binaries
0x01785e30      2      1 R--rw- \Device\HarddiskVolume1\Program Files\MSN Gaming Zone\Windows
0x017aa970      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\plugins\vmsvc\hgfsServer.dll
0x017ab028      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\crypt32.dll
0x017ab2b0      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-1957994488-1326574676-839522115-500
0x017b01f0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x017b03f8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x017b1eb8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\xpsp2res.dll
0x017b2b00      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.6001.22319_x-ww_f0b4c2df
0x017b2d28      1      1 R--r-- \Device\HarddiskVolume1\Program Files\Microsoft Security Essentials\MsMpRes.dll
0x017b3028      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuaueng.dll
0x017b3328      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msutb.dll
0x017b4c10      2      1 ------ \Device\NamedPipe\protected_storage
0x017b5028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x017b68d8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\powrprof.dll
0x017b94f8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\csrsrv.dll
0x017ba6e0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\linkinfo.dll
0x017bae38      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017bd178      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\gobject-2.0.dll
0x017bd210      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700
0x017bd598      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\shimeng.dll
0x017bd770      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemcons.dll
0x017be498      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x017be8d0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msftedit.dll
0x017becd0      1      1 ------ \Device\NamedPipe\srvsvc
0x017bef90      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\rpcrt4.dll
0x017c1028      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\Start Menu
0x017c13e0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017c1b00      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\MAPPING2.MAP
0x017c1cd8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017c1f00      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\History\History.IE5\index.dat
0x017c2028      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\desktop.ini
0x017c2988      1      1 ------ \Device\NamedPipe\net\NtControlPipe1
0x017c5068      2      1 ------ \Device\NamedPipe\ntsvcs
0x017c5120      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\$WinMgmt.CFG
0x017c5ec8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x017c6a00      1      1 ------ \Device\NamedPipe\scerpc
0x017c8808      1      1 ------ \Device\NamedPipe\net\NtControlPipe2
0x017c8a08      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Administrator
0x017c8b38      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\audiosrv.dll
0x017c8c88      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\spoolsv.exe
0x017c9240      2      1 ------ \Device\NamedPipe\winreg
0x017c98c0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\shsvcs.dll
0x017c9f28      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x017ca130      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017ca230      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017cade8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017fb738      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017fb7d0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x017ff5a8      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\_REGISTRY_USER_NTUSER_S-1-5-20
0x01804400      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x018049b8      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x01804f90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\upnp.dll
0x018054e8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ssdpapi.dll
0x01806350      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mscms.dll
0x01807940      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\dot3api.dll
0x01808600      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x018086a8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x01808de8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01808ef8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msi.dll
0x018092b8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\VMwareUser.exe
0x01809b88      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemcore.dll
0x01809e90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01809f68      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0180a230      2      1 ------ \Device\NamedPipe\PCHHangRepExecPipe
0x0180a3a0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
0x0180a7c8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700
0x0180b628      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0180b870      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\userinit.exe
0x0180c240      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\Repository\FS\OBJECTS.DATA
0x0180c410      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0180d810      3      1 ------ \Device\NamedPipe\net\NtControlPipe12
0x0180dae0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\es.dll
0x018113d0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01811468      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\sensapi.dll
0x018115f8      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Microsoft\Internet Explorer\Quick Launch
0x01811788      1      1 ------ \Device\Afd\Endpoint
0x018143d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x01814548      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
