Pid      Process              Base       InLoad InInit InMem MappedPath
-------- -------------------- ---------- ------ ------ ----- ----------
    1076 svchost.exe          0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
    1076 svchost.exe          0x76fb0000 True   True   True  \WINDOWS\system32\winrnr.dll
    1076 svchost.exe          0x769c0000 True   True   True  \WINDOWS\system32\userenv.dll
    1076 svchost.exe          0x76e90000 True   True   True  \WINDOWS\system32\rasman.dll
    1076 svchost.exe          0x74ed0000 True   True   True  \WINDOWS\system32\wbem\wbemsvc.dll
    1076 svchost.exe          0x77c10000 True   True   True  \WINDOWS\system32\msvcrt.dll
    1076 svchost.exe          0x662b0000 True   True   True  \WINDOWS\system32\hnetcfg.dll
    1076 svchost.exe          0x76c30000 True   True   True  \WINDOWS\system32\wintrust.dll
    1076 svchost.exe          0x7c9c0000 True   True   True  \WINDOWS\system32\shell32.dll
    1076 svchost.exe          0x76f20000 True   True   True  \WINDOWS\system32\dnsapi.dll
    1076 svchost.exe          0x76c90000 True   True   True  \WINDOWS\system32\imagehlp.dll
    1076 svchost.exe          0x75150000 True   True   True  \WINDOWS\system32\cabinet.dll
    1076 svchost.exe          0x7d4b0000 True   True   True  \WINDOWS\system32\dhcpcsvc.dll
    1076 svchost.exe          0x77b20000 True   True   True  \WINDOWS\system32\msasn1.dll
    1076 svchost.exe          0x762c0000 True   True   True  \WINDOWS\system32\wbem\wbemcore.dll
    1076 svchost.exe          0x77fe0000 True   True   True  \WINDOWS\system32\secur32.dll
    1076 svchost.exe          0x6fb10000 True   True   True  \WINDOWS\system32\catsrvut.dll
    1076 svchost.exe          0x76d10000 True   True   True  \WINDOWS\system32\clusapi.dll
    1336 svchost.exe          0x01000000 True   False  True  \WINDOWS\system32\svchost.exe
    1516 spoolsv.exe          0x01000000 True   False  True  \WINDOWS\system32\spoolsv.exe
    1516 spoolsv.exe          0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
    1516 spoolsv.exe          0x76c30000 True   True   True  \WINDOWS\system32\wintrust.dll
    1516 spoolsv.exe          0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
    1516 spoolsv.exe          0x77fe0000 True   True   True  \WINDOWS\system32\secur32.dll
    1516 spoolsv.exe          0x77c00000 True   True   True  \WINDOWS\system32\version.dll
    1516 spoolsv.exe          0x77f60000 True   True   True  \WINDOWS\system32\shlwapi.dll
    1516 spoolsv.exe          0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
    1516 spoolsv.exe          0x71ab0000 True   True   True  \WINDOWS\system32\ws2_32.dll
    1516 spoolsv.exe          0x774e0000 True   True   True  \WINDOWS\system32\ole32.dll
    1516 spoolsv.exe          0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
    1516 spoolsv.exe          0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
    1516 spoolsv.exe          0x73000000 True   True   True  \WINDOWS\system32\winspool.drv
    1516 spoolsv.exe          0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
    1516 spoolsv.exe          0x75bb0000 True   True   True  \WINDOWS\system32\localspl.dll
    1516 spoolsv.exe          0x7c9c0000 True   True   True  \WINDOWS\system32\shell32.dll
    1516 spoolsv.exe          0x77c10000 True   True   True  \WINDOWS\system32\msvcrt.dll
    1516 spoolsv.exe          0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
    1516 spoolsv.exe          0x7e660000 True   True   True  \WINDOWS\system32\spool\drivers\w32x86\3\ps5ui.dll
